"","Open","High","Low","Close","Volume"
"1",75.05,75.05,75,75.05,63200
"2",75.15,75.15,75.05,75.05,152800
"3",75.15,75.15,75.05,75.1,33600
"4",75.2,75.2,75.15,75.15,2000
"5",75.15,75.2,75.05,75.15,93200
"6",75.2,75.2,75.15,75.15,68400
"7",75.2,75.25,75.2,75.25,80800
"8",75.2,75.2,75.2,75.2,2400
"9",75.15,75.2,75.15,75.2,19200
"10",75.2,75.2,75.15,75.2,97200
"11",75.25,75.25,75.2,75.2,10400
"12",75.25,75.3,75.2,75.2,161200
"13",75.25,75.25,75.2,75.25,26000
"14",75.2,75.25,75.15,75.25,140800
"15",75.15,75.2,75.15,75.2,156000
"16",75.1,75.15,75.1,75.15,148400
"17",75.1,75.1,75.05,75.1,5200
"18",75.1,75.2,75.1,75.1,170800
"19",75.1,75.15,75.1,75.15,2400
"20",75.15,75.15,75.15,75.15,13200
"21",75.2,75.2,75.15,75.2,15200
"22",75.15,75.15,75.15,75.15,11600
"23",75.2,75.2,75.15,75.2,32800
"24",75.15,75.2,75.15,75.2,72800
"25",75.15,75.2,75.15,75.15,12400
"26",75.15,75.2,75.15,75.2,3600
"27",75.2,75.2,75.15,75.15,8000
"28",75.15,75.2,75.15,75.2,4800
"29",75.15,75.2,75.15,75.2,75600
"30",75.15,75.2,75.15,75.15,344000
"31",75.15,75.15,75.15,75.15,1600
"32",75.2,75.2,75.15,75.15,8800
"33",75.2,75.2,75.15,75.2,16400
"34",75.15,75.2,75.15,75.15,19200
"35",75.2,75.2,75.2,75.2,12400
"36",75.2,75.2,75.15,75.2,11200
"37",75.2,75.2,75.2,75.2,122400
"38",75.2,75.2,75.15,75.2,14400
"39",75.25,75.3,75.15,75.15,305600
"40",75.2,75.25,75.2,75.25,38000
"41",75.25,75.25,75.2,75.2,14400
"42",75.2,75.25,75.2,75.2,35200
"43",75.2,75.25,75.2,75.2,11200
"44",75.25,75.3,75.2,75.25,228000
"45",75.25,75.25,75.2,75.25,40800
"46",75.25,75.3,75.25,75.25,11200
"47",75.2,75.3,75.2,75.3,16400
"48",75.3,75.3,75.2,75.25,25200
"49",75.3,75.3,75.25,75.25,6800
"50",75.3,75.3,75.25,75.25,10000
"51",75.25,75.3,75.25,75.3,10400
"52",75.3,75.3,75.25,75.3,16800
"53",75.25,75.3,75.25,75.25,14400
"54",75.25,75.3,75.25,75.25,33200
"55",75.3,75.3,75.25,75.3,12000
"56",75.25,75.3,75.25,75.25,26000
"57",75.2,75.3,75.2,75.25,116400
"58",75.3,75.3,75.25,75.25,64400
"59",75.3,75.3,75.25,75.25,12000
"60",75.3,75.3,75.25,75.25,12000
"61",75.25,75.25,75.25,75.25,1600
"62",75.25,75.3,75.25,75.25,6800
"63",75.3,75.3,75.25,75.3,10400
"64",75.3,75.3,75.25,75.25,27600
"65",75.3,75.3,75.25,75.3,8800
"66",75.3,75.3,75.25,75.25,38400
"67",75.3,75.3,75.25,75.25,4400
"68",75.3,75.3,75.25,75.25,9200
"69",75.35,75.35,75.3,75.3,182400
"70",75.3,75.35,75.3,75.35,8800
"71",75.3,75.35,75.3,75.3,34000
"72",75.35,75.35,75.3,75.3,84400
"73",75.3,75.35,75.25,75.3,10400
"74",75.25,75.3,75.25,75.3,8400
"75",75.3,75.3,75.3,75.3,23600
"76",75.3,75.35,75.3,75.3,38400
"77",75.35,75.35,75.25,75.3,73600
"78",75.3,75.3,75.25,75.25,3600
"79",75.3,75.35,75.3,75.35,42800
"80",75.3,75.35,75.3,75.35,117200
"81",75.35,75.35,75.35,75.35,73200
"82",75.35,75.4,75.35,75.4,9600
"83",75.35,75.4,75.35,75.35,6800
"84",75.4,75.4,75.35,75.35,41600
"85",75.4,75.4,75.35,75.35,24400
"86",75.4,75.4,75.35,75.4,86000
"87",75.4,75.45,75.35,75.4,217600
"88",75.45,75.45,75.4,75.4,57200
"89",75.45,75.45,75.4,75.4,109600
"90",75.45,75.45,75.4,75.45,326000
"91",75.45,75.45,75.4,75.45,20400
"92",75.45,75.45,75.4,75.45,69200
"93",75.45,75.45,75.4,75.4,6400
"94",75.45,75.45,75.4,75.45,105600
"95",75.45,75.45,75.4,75.45,92400
"96",75.4,75.45,75.4,75.4,410400
"97",75.4,75.4,75.35,75.4,36800
"98",75.45,75.45,75.35,75.35,41600
"99",75.4,75.45,75.4,75.45,10400
"100",75.4,75.45,75.4,75.45,47600
"101",75.4,75.45,75.35,75.35,17200
"102",75.4,75.4,75.35,75.4,118000
"103",75.4,75.45,75.4,75.4,102000
"104",75.4,75.4,75.4,75.4,19200
"105",75.35,75.4,75.35,75.4,2800
"106",75.4,75.4,75.35,75.4,4000
"107",75.35,75.4,75.35,75.35,4800
"108",75.35,75.4,75.3,75.35,297200
"109",75.35,75.35,75.3,75.3,83200
"110",75.3,75.35,75.3,75.35,800
"111",75.35,75.35,75.3,75.35,44400
"112",75.3,75.35,75.3,75.3,18000
"113",75.3,75.35,75.3,75.3,41600
"114",75.35,75.35,75.3,75.3,5600
"115",75.4,75.4,75.3,75.35,101600
"116",75.4,75.4,75.35,75.4,2000
"117",75.35,75.4,75.35,75.4,2400
"118",75.35,75.35,75.35,75.35,2000
"119",75.35,75.35,75.35,75.35,6000
"120",75.35,75.4,75.35,75.35,16800
"121",75.35,75.4,75.35,75.35,9600
"122",75.35,75.4,75.35,75.4,4000
"123",75.35,75.4,75.35,75.35,21600
"124",75.35,75.35,75.35,75.35,8400
"125",75.35,75.4,75.35,75.35,9200
"126",75.35,75.35,75.35,75.35,4800
"127",75.35,75.4,75.3,75.4,305600
"128",75.35,75.35,75.3,75.35,18400
"129",75.35,75.35,75.3,75.35,58400
"130",75.35,75.35,75.3,75.3,18000
"131",75.3,75.35,75.3,75.3,4000
"132",75.4,75.4,75.35,75.35,39600
"133",75.4,75.4,75.35,75.35,9600
"134",75.4,75.4,75.35,75.35,5600
"135",75.35,75.4,75.35,75.4,5600
"136",75.4,75.4,75.4,75.4,400
"137",75.35,75.4,75.35,75.4,2400
"138",75.35,75.4,75.35,75.4,800
"139",75.4,75.4,75.35,75.35,26400
"140",75.4,75.4,75.4,75.4,2800
"141",75.4,75.4,75.35,75.35,13600
"142",75.4,75.4,75.35,75.35,5200
"143",75.4,75.4,75.35,75.4,24400
"144",75.4,75.4,75.35,75.35,4000
"145",75.4,75.4,75.35,75.4,5200
"146",75.35,75.4,75.35,75.35,30000
"147",75.35,75.35,75.35,75.35,2800
"148",75.4,75.4,75.35,75.35,42400
"149",75.4,75.4,75.35,75.35,13200
"150",75.4,75.4,75.4,75.4,14000
"151",75.35,75.35,75.35,75.35,10400
"152",75.45,75.45,75.35,75.4,416400
"153",75.4,75.4,75.4,75.4,34000
"154",75.4,75.4,75.4,75.4,12400
"155",75.45,75.45,75.45,75.45,400
"156",75.4,75.45,75.4,75.45,18000
"157",75.4,75.4,75.4,75.4,119600
"158",75.45,75.45,75.4,75.4,4400
"159",75.4,75.45,75.4,75.45,70000
"160",75.45,75.45,75.35,75.35,80800
"161",75.45,75.45,75.4,75.4,2800
"162",75.4,75.4,75.4,75.4,96800
"163",75.35,75.4,75.35,75.4,56400
"164",75.4,75.4,75.35,75.4,76400
"165",75.4,75.4,75.4,75.4,7600
"166",75.4,75.4,75.4,75.4,8400
"167",75.4,75.4,75.35,75.4,11600
"168",75.45,75.45,75.4,75.4,45600
"169",75.4,75.4,75.4,75.4,114800
"170",75.4,75.4,75.35,75.35,13200
"171",75.45,75.45,75.4,75.45,14400
"172",75.45,75.45,75.4,75.4,19600
"173",75.45,75.45,75.4,75.4,2800
"174",75.4,75.45,75.4,75.4,5600
"175",75.45,75.45,75.4,75.4,2400
"176",75.4,75.4,75.4,75.4,2400
"177",75.4,75.45,75.4,75.45,800
"178",75.45,75.45,75.4,75.4,317200
"179",75.5,75.5,75.5,75.5,711200
"180",75.5,75.55,75.5,75.5,59200
"181",75.6,75.6,75.5,75.5,289200
"182",75.55,75.6,75.55,75.6,288800
"183",75.6,75.6,75.55,75.55,45600
"184",75.55,75.6,75.55,75.6,68800
"185",75.55,75.55,75.55,75.55,75600
"186",75.65,75.65,75.55,75.55,599600
"187",75.65,75.65,75.6,75.6,320400
"188",75.65,75.65,75.6,75.6,130800
"189",75.65,75.65,75.6,75.6,185200
"190",75.65,75.7,75.65,75.65,164800
"191",75.7,75.7,75.65,75.7,70800
"192",75.65,75.7,75.65,75.65,136000
"193",75.7,75.7,75.6,75.65,123200
"194",75.65,75.7,75.6,75.6,60800
"195",75.65,75.65,75.65,75.65,84000
"196",75.65,75.65,75.65,75.65,30800
"197",75.65,75.7,75.65,75.65,11600
"198",75.7,75.7,75.6,75.6,43600
"199",75.7,75.7,75.65,75.65,4800
"200",75.65,75.7,75.65,75.65,24000
"201",75.65,75.7,75.65,75.7,53600
"202",75.65,75.7,75.6,75.65,165200
"203",75.65,75.65,75.6,75.65,10800
"204",75.65,75.65,75.6,75.6,57200
"205",75.6,75.6,75.55,75.6,234400
"206",75.55,75.6,75.55,75.6,98800
"207",75.6,75.6,75.55,75.55,8400
"208",75.55,75.6,75.55,75.55,6400
"209",75.6,75.6,75.55,75.55,84000
"210",75.65,75.65,75.6,75.6,124800
"211",75.65,75.65,75.6,75.65,25600
"212",75.6,75.65,75.6,75.65,14800
"213",75.6,75.65,75.6,75.65,132000
"214",75.6,75.6,75.55,75.55,28400
"215",75.6,75.6,75.6,75.6,102800
"216",75.65,75.65,75.6,75.6,6400
"217",75.6,75.6,75.6,75.6,112800
"218",75.55,75.6,75.55,75.6,3600
"219",75.6,75.6,75.6,75.6,125200
"220",75.6,75.65,75.6,75.65,136000
"221",75.55,75.55,75.55,75.55,8800
"222",75.6,75.6,75.55,75.6,22000
"223",75.6,75.6,75.55,75.6,11600
"224",75.6,75.6,75.55,75.6,11600
"225",75.6,75.6,75.55,75.55,20800
"226",75.55,75.6,75.55,75.6,50000
"227",75.55,75.6,75.55,75.6,16800
"228",75.6,75.6,75.55,75.55,6400
"229",75.6,75.6,75.55,75.6,128000
"230",75.6,75.6,75.6,75.6,52000
"231",75.6,75.65,75.6,75.65,15600
"232",75.55,75.6,75.55,75.6,7200
"233",75.55,75.6,75.55,75.6,52000
"234",75.6,75.6,75.55,75.6,4000
"235",75.6,75.6,75.55,75.55,7600
"236",75.55,75.55,75.55,75.55,24000
"237",75.55,75.6,75.55,75.6,6400
"238",75.55,75.6,75.55,75.55,36400
"239",75.55,75.6,75.55,75.6,174000
"240",75.55,75.55,75.55,75.55,8400
"241",75.55,75.55,75.5,75.55,21200
"242",75.55,75.55,75.55,75.55,52400
"243",75.5,75.55,75.5,75.55,6400
"244",75.5,75.55,75.5,75.5,14400
"245",75.5,75.55,75.5,75.55,3600
"246",75.5,75.5,75.5,75.5,1200
"247",75.45,75.55,75.45,75.5,522000
"248",75.5,75.5,75.5,75.5,8000
"249",75.55,75.55,75.45,75.45,451600
"250",75.5,75.55,75.5,75.55,8000
"251",75.55,75.55,75.5,75.5,57200
"252",75.55,75.6,75.55,75.6,8400
"253",75.6,75.6,75.6,75.6,89600
"254",75.6,75.6,75.55,75.6,85600
"255",75.55,75.6,75.55,75.55,20000
"256",75.55,75.55,75.55,75.55,400
"257",75.55,75.6,75.55,75.6,11600
"258",75.6,75.6,75.6,75.6,24000
"259",75.6,75.6,75.55,75.55,21600
"260",75.55,75.6,75.55,75.6,21600
"261",75.6,75.6,75.55,75.6,9600
"262",75.6,75.6,75.55,75.55,16400
"263",75.55,75.6,75.55,75.6,27600
"264",75.5,75.55,75.5,75.55,34800
"265",75.55,75.55,75.5,75.55,54000
"266",75.6,75.6,75.55,75.55,30000
"267",75.55,75.6,75.55,75.55,55600
"268",75.55,75.6,75.55,75.55,8400
"269",75.6,75.6,75.55,75.55,28800
"270",75.55,75.55,75.55,75.55,55600
"271",75.6,75.6,75.55,75.6,10800
"272",75.55,75.55,75.5,75.55,20400
"273",75.55,75.6,75.5,75.55,58800
"274",75.6,75.6,75.6,75.6,90000
"275",75.6,75.65,75.6,75.65,38800
"276",75.6,75.65,75.6,75.65,12000
"277",75.6,75.65,75.6,75.65,15600
"278",75.6,75.65,75.6,75.65,4400
"279",75.65,75.65,75.6,75.6,6400
"280",75.65,75.65,75.65,75.65,251600
"281",75.65,75.7,75.6,75.7,112400
"282",75.7,75.7,75.65,75.65,36400
"283",75.65,75.7,75.65,75.65,32400
"284",75.7,75.75,75.65,75.7,748000
"285",75.75,75.8,75.75,75.75,163200
"286",75.75,75.8,75.75,75.8,39600
"287",75.75,75.8,75.75,75.75,154000
"288",75.75,75.8,75.75,75.8,18000
"289",75.75,75.8,75.75,75.8,148400
"290",75.75,75.8,75.75,75.75,40800
"291",75.85,75.85,75.75,75.75,623600
"292",75.9,75.9,75.85,75.85,573600
"293",75.85,75.9,75.85,75.9,430800
"294",75.85,75.9,75.8,75.85,106800
"295",75.85,75.9,75.85,75.9,131200
"296",75.85,75.9,75.85,75.85,83200
"297",75.9,75.9,75.85,75.85,45600
"298",76.05,76.05,75.85,75.85,1581200
"299",76.15,76.15,76,76.05,246800
"300",76.25,76.25,76.1,76.1,672000
"301",76.1,76.25,76.1,76.2,329600
"302",76.15,76.15,76.05,76.1,369200
"303",76.05,76.15,76,76.1,221200
"304",76.1,76.1,76.05,76.1,191200
"305",76.1,76.15,76.1,76.1,63600
"306",76.15,76.15,76.1,76.1,181200
"307",76.15,76.15,76.1,76.1,103600
"308",76.15,76.2,76.1,76.1,277200
"309",76.15,76.2,76,76.15,538800
"310",76.15,76.2,76.1,76.15,186800
"311",76.2,76.2,76.15,76.2,108000
"312",76.2,76.2,76.15,76.15,75600
"313",76.3,76.3,76.15,76.2,1012800
"314",76.5,76.5,76.25,76.3,736800
"315",76.55,76.65,76.45,76.5,858000
"316",76.6,76.6,76.5,76.55,246800
"317",76.6,76.6,76.5,76.55,237600
"318",76.55,76.6,76.5,76.55,441600
"319",76.55,76.6,76.55,76.55,169600
"320",76.6,76.6,76.55,76.6,220400
"321",76.6,76.6,76.55,76.6,356400
"322",76.55,76.6,76.5,76.6,314800
"323",76.5,76.55,76.45,76.55,513200
"324",76.55,76.55,76.45,76.5,337200
"325",76.5,76.55,76.5,76.55,202400
"326",76.55,76.6,76.5,76.55,318000
"327",76.55,76.6,76.55,76.55,211200
"328",76.55,76.6,76.5,76.55,241600
"329",76.55,76.6,76.5,76.55,840400
"330",76.6,76.6,76.5,76.55,428400
"331",76.6,76.6,76.55,76.55,627200
